Variation ID	Position	Chromosome	Region Start	Region End	Element RS Score	Base RS Score
rs753863247	129728127	chr9	129728120	129728237	517.3	5.55000
rs755182642	129728136	chr9	129728120	129728237	517.3	5.55000
rs1223108942	129728169	chr9	129728120	129728237	517.3	5.55000
rs1327077064	129728200	chr9	129728120	129728237	517.3	-0.78200
rs1263289903	129739999	chr9	129739966	129740033	255.5	5.50000
rs199960808	129740008	chr9	129739966	129740033	255.5	5.50000
rs375139774	129740020	chr9	129739966	129740033	255.5	5.35000
rs777380945	129796723	chr9	129796682	129796801	406.8	4.71000
rs376156148	129796771	chr9	129796682	129796801	406.8	4.98000
rs762196220	129796779	chr9	129796682	129796801	406.8	1.37000
rs1427976796	129812325	chr9	129812309	129812416	541.1	5.61000
rs1312741281	129812347	chr9	129812309	129812416	541.1	5.61000
rs752613882	129815193	chr9	129814969	129815225	973.9	6.02000
rs752613882	129815193	chr9	129814969	129815225	973.9	6.02000
rs1204075868	129831581	chr9	129831504	129831642	522.6	1.97000
rs1204075868	129831581	chr9	129831504	129831642	522.6	1.97000
rs188642356	129831582	chr9	129831504	129831642	522.6	5.34000
rs1188039171	129831626	chr9	129831504	129831642	522.6	5.21000
rs1188039171	129831626	chr9	129831504	129831642	522.6	5.21000
rs746445600	129831630	chr9	129831504	129831642	522.6	5.21000
rs746445600	129831630	chr9	129831504	129831642	522.6	5.21000
rs764280405	129928406	chr9	129928335	129928493	657.7	4.46000
rs751839755	129928411	chr9	129928335	129928493	657.7	5.36000
rs1470007475	129928417	chr9	129928335	129928493	657.7	5.36000
rs1441217010	129928474	chr9	129928335	129928493	657.7	5.36000
rs746597242	129931032	chr9	129930955	129931059	366.2	4.97000
rs779836653	129936996	chr9	129936966	129937065	342.6	5.23000
rs768611508	129937010	chr9	129936966	129937065	342.6	5.23000
rs376980807	129957405	chr9	129957396	129957505	360.8	2.96000
rs763986402	129957468	chr9	129957396	129957505	360.8	4.98000
rs767662666	129957495	chr9	129957396	129957505	360.8	4.98000
rs1167226192	129958814	chr9	129958712	129958986	1030.4	4.48000
rs1350667174	129958817	chr9	129958712	129958986	1030.4	5.58000
rs779639127	129958823	chr9	129958712	129958986	1030.4	4.68000
rs748911357	129958829	chr9	129958712	129958986	1030.4	5.48000
rs1358734512	129973030	chr9	129972962	129973060	417.7	5.58000
rs755963750	129974504	chr9	129974407	129974526	285.7	4.23000
rs201112223	129974943	chr9	129974904	129975006	394.0	5.19000
rs201112223	129974943	chr9	129974904	129975006	394.0	5.19000
rs1032269388	129974951	chr9	129974904	129975006	394.0	5.19000
rs1032269388	129974951	chr9	129974904	129975006	394.0	5.19000
rs1032269388	129974951	chr9	129974904	129975006	394.0	5.19000
rs776124423	129974978	chr9	129974904	129975006	394.0	3.13000
rs776124423	129974978	chr9	129974904	129975006	394.0	3.13000
rs776124423	129974978	chr9	129974904	129975006	394.0	3.13000
rs749075271	129974979	chr9	129974904	129975006	394.0	5.19000
rs1280727618	129975260	chr9	129975220	129975337	421.9	5.06000
rs1299070016	129975280	chr9	129975220	129975337	421.9	5.46000
rs1299070016	129975280	chr9	129975220	129975337	421.9	5.46000
rs1299070016	129975280	chr9	129975220	129975337	421.9	5.46000
rs1299070016	129975280	chr9	129975220	129975337	421.9	5.46000
rs751618566	129977043	chr9	129977027	129977125	464.6	4.81000
rs751618566	129977043	chr9	129977027	129977125	464.6	4.81000
rs751618566	129977043	chr9	129977027	129977125	464.6	4.81000
rs767644899	129977096	chr9	129977027	129977125	464.6	5.70000
rs1263074398	129977113	chr9	129977027	129977125	464.6	4.56000
rs1263074398	129977113	chr9	129977027	129977125	464.6	4.56000
rs1445696310	129977117	chr9	129977027	129977125	464.6	5.70000
