,McaM,McoM,Pvalue,OR,CI.upper,CI.lower,Logistic.P,Sens,Spec,AUC
ADCY2_7395309,0.105792675,0.283258901,4.23771E-14,2.156267011,2.987461747,1.423215246,9.07261E-08,0.833333333,0.787037037,0.799982853
ADCY2_7395318,0.137534225,0.328228658,4.01266E-13,2.016826167,2.767478442,1.346623053,3.83643E-08,0.805555556,0.796296296,0.78798011
ADCY2_7395323,0.169636153,0.379233803,4.62795E-15,2.612887366,3.507429612,1.826781191,1.95995E-09,0.87962963,0.787037037,0.81138546
ADCY2_7395327,0.090031104,0.247078453,4.19558E-13,2.621277142,3.650229995,1.731614832,1.13611E-07,0.814814815,0.759259259,0.787722908
ADCY2_7395336,0.093936749,0.238927899,5.8854E-12,2.536048647,3.618359688,1.61015609,9.04423E-07,0.740740741,0.805555556,0.77297668
ADCY2_7395338,0.093672511,0.238558181,2.34299E-14,2.956125182,4.213700857,1.898821137,6.83393E-07,0.768518519,0.805555556,0.803069273
ADCY2_7395344,0.131276721,0.284195178,1.00523E-12,2.633169094,3.70012232,1.713567978,2.64037E-07,0.824074074,0.777777778,0.782921811
ADCY2_7395349,0.138696033,0.285602515,4.18015E-12,2.531760054,3.561987094,1.635193267,3.38523E-07,0.824074074,0.740740741,0.77494856
ADCY2_7395374,0.166415989,0.364386658,3.04151E-14,2.692687473,3.592713972,1.892737589,1.03654E-09,0.833333333,0.805555556,0.801697531
ADCY2_7395395,0.18096718,0.390983659,5.70442E-17,3.51208365,4.656229432,2.525556555,2.52235E-10,0.898148148,0.805555556,0.832990398
ADCY2_7395418,0.069672353,0.222155765,5.21774E-14,3.259571943,4.531658921,2.177759476,7.76105E-08,0.759259259,0.814814815,0.798868313
ADCY2_7395424,0.13392436,0.333310912,1.74832E-13,2.204600857,2.999435693,1.501424672,1.20217E-08,0.824074074,0.805555556,0.792438272
ADCY2_7395426,0.113783611,0.306164116,2.29676E-13,2.149437752,2.956426188,1.441246022,3.82445E-08,0.805555556,0.796296296,0.790980796
ADCY2_7395434,0.096792134,0.291687711,3.52935E-15,2.812587496,3.833467237,1.938112357,8.92351E-09,0.824074074,0.796296296,0.812757202
ADCY2_7395440,0.082427894,0.261289084,4.59827E-15,2.964417551,4.101121437,2.003177169,4.32876E-08,0.824074074,0.777777778,0.811428326
ADCY2_7395452,0.056971056,0.171076941,6.542E-12,3.266407705,4.72264003,2.041644134,2.13687E-06,0.805555556,0.722222222,0.772376543
AHRR_374225,0.045653041,0.082072047,0.000781973,1.653952924,3.507678561,0.316297103,0.04147405,0.490740741,0.768518519,0.633230453
AHRR_374229,0.038544218,0.066043707,0.029455941,1.18876955,2.807249191,-0.019193877,0.091305782,0.703703704,0.462962963,0.586162551
AHRR_374241,0.056320098,0.110974548,0.000109337,2.132691676,3.873001877,0.80022995,0.006908135,0.388888889,0.851851852,0.653463649
AHRR_374252,0.04186483,0.079181982,0.00415799,1.530258084,3.282127189,0.285791494,0.041308819,0.509259259,0.731481481,0.613554527
